#tag	x_m	y_m	Z_Base_Tikuna 
3LUC0053D	5426042.26	9456968.71	-604 
1MG0001	5267634.92	9452915.41	-689 
1MR0001	5257569.42	9450293.32	-680 
1MUC0001	5396959.94	9434727.38	-633.5 
1MV0001	5237134.41	9424031.93	-666.5 
1MV0002	5266823.52	9429500.73	-692 
1MV0003	5226076.27	9424192.06	-589 
1NEJ0001	5314453.08	9482969.62	-676.3 
1NEJ0002	5311676.06	9480172.09	-673.8 
1NEJ0003	5313599.49	9479902.80	-666 
1NIT0001	5414656.06	9450342.16	-628 
1NMR0001	5144376.42	9413841.69	-539 
1NPN0001	5197256.64	9451298.11	-596 
1NSM0001	5378063.34	9480256.17	-682.1 
1PEV0001	5448031.65	9464477.25	-565.5 
2PMST0001A	5316997.44	9735395.11	-160 
1PN0001	5200951.60	9437546.57	-614 
1PQA0001	5461638.70	9486444.13	-605.6 
1PS0001	5135324.53	9403119.43	-496 
1PX0001	5157244.10	9404566.22	-460 
1PX0001A	5157164.09	9404566.22	-548 
1RA0001	5428638.01	9482832.16	-608.8 
1RA0002	5434448.72	9480643.51	-613 
1RBB0001	5151453.81	9420192.92	-570 
1RBI0001	5109733.45	9390800.73	-485 
1RBU0001	5274465.22	9583899.29	-498.3 
1RCA0001	5436586.77	9640095.93	-433 
1RCB0001	5411040.00	9575838.08	-559.4 
1RCO0001	5559015.52	9496785.83	-610 
1RCP0001	5320971.42	9540491.60	-624.5 
2RCST0001	4818064.81	9509035.37	-862 
2RJST0001	4645340.19	9472433.30	-1158.9 
1RIT0001	5459122.62	9460856.70	-558 
1RNI0001	5367688.44	9662743.14	-306.1 
1RRZ0001	5232017.76	9541258.05	-579.5 
1RT0001	5360301.03	9493728.03	-680 
1RT0002	5350935.84	9498119.00	-611.4 
1RUC0001	5409957.03	9458502.59	-598.5 
4RUC0002	5413967.32	9462763.07	-623.7 
3RUC0003	5408420.23	9457978.41	-644.5 
3RUC0004	5410501.67	9460698.79	-600.7 
4RUC0005	5411304.33	9455806.42	-597 
3RUC0006	5414535.07	9463956.58	-582.1 
3RUC0007	5407374.62	9456577.32	-620.3 
3RUC0008	5415778.25	9464455.11	-592.8 
3RUC0009D	5408302.15	9458747.96	-654.5 
4RUC0010	5414311.19	9460515.75	-618.2 
3RUC0011D	5417232.40	9466003.90	-612.8 
3RUC0012	5416216.58	9465576.67	-597.5 
3RUC0013D	5407819.42	9457524.91	-625.3 
3RUC0014D	5407097.57	9455655.76	-588.3 
4RUC0015A	5418443.54	9468367.82	-596.4 
3RUC0016D	5410315.29	9461403.35	-573.8 
3RUC0017D	5407046.93	9457514.70	-616.3 
7RUC0018D	5408259.83	9456897.13	-651.3 
3RUC0019D	5409128.61	9460645.80	-637.6 
3RUC0020	5412922.01	9465053.94	-617.4 
3RUC0021	5411945.47	9463049.75	-609.8 
3RUC0022DP	5412758.13	9465458.89	-617.4 
7RUC0023D	5412914.22	9463332.19	-609.8 
7RUC0024D	5411277.25	9462228.84	-613.8 
4RUC0025	5406459.71	9457946.25	-597.8 
7RUC0026D	5409140.88	9457734.17	-611.3 
7RUC0027	5414829.86	9465146.90	-601.3 
7RUC0028	5413555.95	9464550.07	-605.3 
3RUC0029	5411922.32	9460786.13	-597.3 
7RUC0030	5409126.89	9459764.83	-601.4 
7RUC0031	5412522.51	9463949.53	-606 
4RUC0032	5404601.23	9456088.13	-600.4 
7RUC0033D	5411020.32	9462610.58	-620.9 
7RUC0034H	5414325.64	9465102.06	-602.3 
7RUC0035D	5408563.23	9459286.33	-602.4 
3RUC0036	5409944.13	9453544.35	-577 
3RUC0037	5410413.26	9457280.73	-612.3 
3RUC0038	5416946.40	9463192.42	-619.8 
7RUC0039HP	5410018.17	9453707.57	-598 
9RUC0040	5412404.18	9462334.16	-599.5 
9RUC0041	5409277.57	9459309.21	-570.6 
9RUC0042	5412846.16	9459599.96	-622.5 
7RUC0042HP	5412945.18	9459663.08	-622.6 
9RUC0043	5415664.78	9465248.83	-605 
7RUC0043HA	5415592.25	9465186.86	-605 
7RUC0043HP	5415568.79	9465246.77	-605 
9RUC0044	5409665.69	9460869.91	-603 
7RUC0044HP	5409556.14	9460408.70	-602.5 
9RUC0045	5410436.42	9460736.03	-605.8 
3RUC0048	5417931.01	9466645.75	-601 
3RUC0049	5411589.77	9459304.62	-595.3 
1SB0001	5281792.11	9457092.94	-660.4 
1SMA0001	5452850.35	9465301.70	-558 
1SMT0001	5364722.31	9477025.07	-661.8 
1SMT0002	5370259.47	9473700.24	-648.4 
4SMT0003	5372598.98	9471296.74	-626.6 
6SMT0004	5367109.36	9474821.89	-687.9 
2SNST0001	5115606.86	9655958.87	-264 
1SOJ0001	5286096.42	9459271.34	-666.5 
2SRST0001	5339511.22	9667029.05	-277 
1SSM0001	5367985.81	9454269.89	-662.1 
1SUC0001	5406260.50	9446339.85	-600.8 
4SUC0002	5407361.55	9449628.67	-622.3 
3SUC0003	5409157.60	9452032.07	-621.5 
1TAQ0001	5351734.55	9482877.31	-663.1 
1TB0001	5683759.46	9452337.97	-345 
2TEST0001	5479702.44	9627897.12	-386 
1TM0001	5136518.13	9498523.36	-533.9 
2TUST0001	5276789.75	9517800.34	-655 
1UE0001	5217335.82	9441541.70	-619 
2REST0001	4782243.66	8971229.03	-470 
1BT0001	4536307.78	9245663.20	-2374 
1BT0002	4541296.84	9232405.44	-2181 
2CDST0001	4597770.16	9143871.84	-2307.7 
2INST0001	4634888.67	9198835.18	-2020 
2JMST0001	4529346.97	9085890.04	-2504.4 
1JQ0001	4545570.58	9306899.18	-2994.2 
1RM0001	4534920.85	9108251.65	-2294 
1RPX0001	4547966.00	9211642.33	-2593.4 
1RZ0001	4540012.06	9165457.50	-2469 
1SD0001	4517776.04	9092949.11	-2034 
1CS0003	5767539.08	9577483.48	-332 
2CSST0002	5763783.34	9574697.98	-336 
1ATZ0001	6012925.74	9535673.51	-417.5 
PANDOX-1	5114970.62	8716740.93	-497 
MANURIPIX-1	5092853.94	8716991.91	-608 
A_Iquitos1	4619388.13	9424922.61	-1158.4 
A_Iquitos2	5063201.23	8784353.00	-490.2 
tiputini1	4264169.17	9919439.75	-1312.5 
panacocha1	4210743.49	9961736.78	-2000 
s_roque2	4177623.43	9947883.84	-2375 
s_francisco1	4159208.51	9956164.06	-2562.5 
ind_itaya1	4148172.62	9947852.31	-2718.75 
primavera1	4135291.07	9945070.10	-2687.5 
culebra1	4120562.53	9947821.74	-2812.5 
coca1	4102144.47	9958880.65	-2562.5 
2SLST0001	5841601.58	9655746.61	-173.2 
2BIST0001	5846303.35	9565005.69	-328 
1RL0001	5858712.67	9497098.16	-267 
2PUST0001	5775260.61	9500509.37	-259 
2AIST0001	6002405.34	9391267.27	-100 
2AIST0002	6003402.67	9430738.84	-233 
2AAST0001	5963966.41	9449551.46	-200 
2IPST0001	5924154.46	9461886.90	-227.2 
2ICST0001	6008888.15	9476731.87	-280.4 
2TNST0001	5939346.46	9534026.58	-358.6 
1RCM0001	5930145.13	9564413.28	-309.6 
2LCST0001	5949772.05	9582214.50	-286.4 
1LC0002	5957518.22	9587493.52	-288 
1LJ0001	5911282.65	9591425.85	-266 
2IOST0001	5900787.32	9591179.94	-246 
2LMST0001	5935124.63	9606699.39	-243.6 
2MUST0001	5933195.23	9629723.92	-193 
1MU0002	5928924.92	9632243.63	-162 
1MU0003	5939083.68	9636070.70	-134 
1MU0004	5929268.64	9646788.53	-129 
2NOST0001	5939208.44	9651347.65	-148.4 
2SAST0001	5979427.68	9624504.83	-192 
1CS0003	5767481.05	9577443.28	-332 
2CSST0002	5763725.29	9574657.77	-338 
Loreto_1	4271141.39	9341944.33	-2257
Santa_Lucia_1	4329758.3	9290198.62	-2876
La_Fronteira	4371608.01	9299473.36	-2445
Orellana	4316768.59	9235870.54	-1505
Santa_Catalina_2	4294614.77	9260904.5	-2292
Huaya__3x	4316108.92	9208935.2	-1252
San_Alejandro_1	4328292.42	9019507.32	-1895
Chio_01x	4314498.71	9017634.48	-2666
sepa_1x	4513105.96	8777601.04	153
San_Matin_1X	4596604.12	8693971.24	0
Runuya_1X	4423708.57	8933211.21	-2579
Neshuya_5_1	4352659.52	9049845.52	-3015
Aguayita_1X	4314487.59	9068095.38	-2527
Conica_2X	4285054.36	9124557.87	-2125
La_Colpa	4508400.95	8966045.11	-1428
Oxapampa_19_2	4322975.47	8877557.06	-1207
Capahuari_Sur_2X	4169299.11	9689895.54	-3997
Chapuli	4101473.83	9603072	-5282
Bartra	4261431.18	9726574.97	-2222
Yanayacu_2X	4340577.17	9419253.52	-4372
Bretaña_1X	4408557.63	9420211.17	-3596
Zapote_3X	4416319.25	9397255.12	-3582
Tamanco_1X	4406128.14	9351566.26	-3525
Yarina_2X	4469125.3	9420017.81	-2924
Tapiche_2X	4449551.97	9346984.24	-3038
Palmera_4X	4442322.94	9334785.01	-3592
Santa_Elena_3X	4442381.72	9321217.3	-2978
